NAME,TEAM,SALARY
"Stephen Curry, PG",Golden State Warriors,34382550
"LeBron James, SF",Cleveland Cavaliers,33285709
"Paul Millsap, PF",Denver Nuggets,31269231
"Blake Griffin, PF",LA Clippers,29727900
"Gordon Hayward, SF",Boston Celtics,29727900
"Kyle Lowry, PG",Toronto Raptors,28703704
"Mike Conley, PG",Memphis Grizzlies,28530608
"Russell Westbrook, PG",Oklahoma City Thunder,28530608
"James Harden, PG",Houston Rockets,28299399
"DeMar DeRozan, SG",Toronto Raptors,27739975
"Al Horford, PF",Boston Celtics,27734406
"Carmelo Anthony, PF",Oklahoma City Thunder,26243760
"Damian Lillard, PG",Portland Trail Blazers,26153057
"Jrue Holiday, PG",New Orleans Pelicans,25686667
"Kevin Durant, SF",Golden State Warriors,25000000
"Otto Porter Jr., SF",Washington Wizards,24773250
"Chris Paul, PG",Houston Rockets,24599495
"CJ McCollum, SG",Portland Trail Blazers,23962573
"Andre Drummond, C",Detroit Pistons,23775506
"Bradley Beal, SG",Washington Wizards,23775506
"Anthony Davis, PF",New Orleans Pelicans,23775506
"Dwight Howard, C",Charlotte Hornets,23500000
"Chandler Parsons, SF",Memphis Grizzlies,23112004
"Harrison Barnes, SF",Dallas Mavericks,23112004
"JJ Redick, SG",Philadelphia 76ers,23000000
"Brook Lopez, C",Los Angeles Lakers,22642650
"Marc Gasol, C",Memphis Grizzlies,22642350
"DeAndre Jordan, C",LA Clippers,22642350
"Kevin Love, C",Cleveland Cavaliers,22642350
"Steven Adams, C",Oklahoma City Thunder,22471910
"Giannis Antetokounmpo, PF",Milwaukee Bucks,22471910
"Nicolas Batum, SG",Charlotte Hornets,22434783
"Rudy Gobert, C",Utah Jazz,21924719
"LaMarcus Aldridge, PF",San Antonio Spurs,21461010
"Victor Oladipo, SG",Indiana Pacers,21000000
"Danilo Gallinari, SF",LA Clippers,20559599
"Serge Ibaka, PF",Toronto Raptors,20061729
"George Hill, PG",Sacramento Kings,20000000
"Ryan Anderson, PF",Houston Rockets,19578455
"Paul George, SF",Oklahoma City Thunder,19508958
"Allen Crabbe, SG",Brooklyn Nets,19332500
"Jimmy Butler, SG",Minnesota Timberwolves,19301070
"Jeff Teague, PG",Minnesota Timberwolves,19000000
"Kawhi Leonard, SF",San Antonio Spurs,18868626
"Kyrie Irving, PG",Boston Celtics,18868626
"John Wall, PG",Washington Wizards,18063850
"DeMarcus Cousins, C",New Orleans Pelicans,18063850
